证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
300890,翔丰华,0,,2.0%,26200,7/14/28,6.54%,3800,141626.0,37.32,-37.6760354,943.8228,102054.3259,98543.6837,3510.6422,0.295344356922289,0.757250371525549,2020-09-17,非金属矿物制品业,资本货物,电池,其他化学制品Ⅱ,创业板,广东省,深圳市,0
300891,惠云钛业,399000,14,3.1%,108400,7/14/28,6.0%,23200,213208.0,9.19,-59.14429382662,23.7102,432.354,383.1026,49.2514,0.0111823216959952,0.00356792429284258,2020-09-17,化学原料和化学制品制造业,材料Ⅱ,化学原料,化学原料,创业板,广东省,云浮市,1
300892,品渥食品,550800,7/14/28,3.0%,36400,7/14/28,8.0%,0,0.0,26.76,-64.8155002077922,0.0,1046.2718,1026.939,19.3328,0.0,0.0150910389662547,2020-09-24,零售业,零售业,饮料乳品,食品,创业板,上海,上海市,1
300893,松原股份,10000,14,3.1%,45000,7/14/28,6.0%,0,0.0,22.21,24.7876145255474,64.6311,1885.4,1809.5148,75.8852,0.0512684989429175,0.026848134292579,2020-09-24,汽车制造业,汽车与汽车零部件,汽车零部件,汽车零部件Ⅱ,创业板,浙江省,余姚市,1
300894,火星人,0,,2.0%,58600,7/14/28,6.0%,0,0.0,20.95,-54.831842755102,328.5819,28202.0712,27713.5773,488.4939,0.111715266179355,0.383740265503885,2020-12-31,电气机械和器材制造业,耐用消费品与服装,厨卫电器,厨房电器Ⅱ,创业板,浙江省,海宁市,0
300895,铜牛信息,509800,7/14,3.1%,27600,7/14/28,8.0%,0,0.0,34.11,-28.0685811984368,0.0,1960.9131,1967.775,-6.8619,0.0,0.0134000064624774,2020-09-24,软件和信息技术服务业,软件与服务,IT服务Ⅱ,云服务,创业板,北京,北京市,1
300896,爱美客,1300,14/28,3.2%,49700,4-28,5.73%,900,389979.0,430.72,131.284608715084,25104.5152,665998.7891,627200.5328,38798.2563,0.659406993712322,0.837286811802533,2020-09-28,专用设备制造业,制药、生物科技与生命科学,医疗美容,其他医药医疗,创业板,北京,北京市,1
300897,山科智能,7000,14,3.1%,30800,7/14/28,6.0%,0,0.0,32.26,-41.5022712038304,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-28,仪器仪表制造业,技术硬件与设备,通用设备,仪器仪表Ⅱ,创业板,浙江省,杭州市,1
300898,熊猫乳品,1017300,7/14/28,3.0%,37000,7/14/28,8.0%,0,0.0,25.88,-57.376452003218,0.0,108111.2881,105004.029,3107.2591,0.0,1.11701165047178,2020-10-16,食品制造业,食品、饮料与烟草,饮料乳品,饮料,创业板,浙江省,温州市,1
300899,上海凯鑫,45100,7/14/28,3.2%,38000,7/14/28,6.0%,0,0.0,27.05,-64.1700901923077,0.0,28.9394,29.1497,-0.2103,0.0,0.00088248975772862,2020-10-16,生态保护和环境治理业,商业和专业服务,环境治理,环保及公用事业,创业板,上海,上海市,1
300900,广联航空,0,,2.0%,45700,3-28,6.0%,2000,52540.0,26.18,-63.4208650712408,598.4041,32954.8789,32244.9083,709.9706,0.171457950822215,0.266383013102733,2020-10-29,铁路、船舶、航空航天和其他运输设备制造业,资本货物,航空装备Ⅱ,航空航天,创业板,黑龙江省,哈尔滨市,0
