证券代码,证券名称,华泰借入数量(股),华泰借入期限(天),华泰借入利率,华泰融出数量(股),华泰融出期限(天),华泰融出利率,成交量(股),成交额(元),最新收盘价(元),期间涨跌幅(%),融券余额(万元),融券卖出额(万元),融券偿还额(万元),融券净卖出额(万元),融券余额占流通市值(%),融券卖出额占成交额(%),融券标的纳入日期,证监会行业,Wind行业,申银万国行业,中信证券行业,上市板块,所属省份,所属城市,flag
600000,浦发银行,0,,0.02 ,303538400,3-182,0.04 ,0,0,7.07,-21.74999731,435.5827,222059.6273,221327.2965,732.3308,0.002098993,0.870135699,,货币金融服务,银行,股份制银行Ⅱ,全国性股份制银行Ⅱ,主板,上海,上海市,0
600004,白云机场,400,7,0.02 ,55342400,7-182,0.05 ,0,0,13.7,-8.490768798,943.0313,60618.4931,59891.4951,726.998,0.029084324,0.304715657,,航空运输业,运输,航空机场,航空机场,主板,广东省,广州市,1
600006,东风汽车,0,,0.02 ,262200,7/14/28,0.06 ,0,0,5.63,25.54541853,138.5802,69599.2222,69926.1654,-326.9432,0.0123073,0.260338073,,汽车制造业,汽车与汽车零部件,商用车,商用车,主板,湖北省,襄阳市,0
600007,中国国贸,0,,0.02 ,63700,3月28日,0.05 ,0,0,19.63,55.46418634,186.7461,52622.7938,50778.5455,1844.2483,0.009444521,0.99598812,,房地产业,房地产Ⅱ,房地产开发,房地产开发和运营,主板,北京,北京市,0
600008,首创环保,0,,0.02 ,2106700,3-42,0.05 ,0,0,2.96,3.250656673,2206.7812,53392.7098,53597.5139,-204.8041,0.101563242,0.362302983,,水的生产和供应业,公用事业Ⅱ,环境治理,环保及公用事业,主板,北京,北京市,0
600009,上海机场,0,,0.02 ,45200,7/14/28,0.05 ,20500,835375,45.12,-40.63938955,1526.9375,403344.0687,400105.2471,3238.8216,0.017562236,0.644170809,,航空运输业,运输,航空机场,航空机场,主板,上海,上海市,0
600010,包钢股份,0,,0.02 ,1732500,7/14/28,0.06 ,9600,17376,1.81,54.62188518,2805.8294,1776094.443,1769837.371,6257.0718,0.049216625,1.62598315,,黑色金属冶炼和压延加工业,材料Ⅱ,普钢,普钢,主板,内蒙古自治区,包头市,0
600011,华能国际,0,,0.02 ,122700,7/14/28,0.06 ,5300,47170,8.96,58.59731198,4742.1911,241606.6931,242759.3933,-1152.7002,0.048124783,0.560726999,,电力、热力生产和供应业,公用事业Ⅱ,电力,发电及电网,主板,北京,北京市,0
600012,皖通高速,4400,14/28,0.03 ,141300,7/14/28,0.06 ,0,0,10.99,140.9779641,8.1326,2087.9035,2051.9683,35.9352,0.000634866,0.064245629,,道路运输业,运输,铁路公路,公路铁路,主板,安徽省,合肥市,1
600015,华夏银行,0,,0.02 ,32800,3月28日,0.04 ,0,0,5.58,4.212260666,194.8921,29694.2782,36139.0459,-6444.7677,0.002723836,0.257219605,,货币金融服务,银行,股份制银行Ⅱ,全国性股份制银行Ⅱ,主板,北京,北京市,0
600016,民生银行,0,,0.02 ,34380400,3-182,0.04 ,0,0,3.97,-16.9577349,12445.179,238109.2095,228301.9545,9807.255,0.088398706,0.976258758,,货币金融服务,银行,股份制银行Ⅱ,全国性股份制银行Ⅱ,主板,北京,北京市,0
600017,日照港,0,,0.02 ,3654100,4月28日,0.04 ,0,0,3.04,11.88300172,98.2826,20566.4604,22041.7323,-1475.2719,0.010511522,0.384384323,,水上运输业,运输,航运港口,航运港口,主板,山东省,日照市,0
600018,上港集团,0,,0.02 ,868300,3月28日,0.06 ,0,0,5.2,27.2622783,783.536,36340.133,35996.663,343.47,0.006502206,0.259618781,,水上运输业,运输,航运港口,航运港口,主板,上海,上海市,0
600019,宝钢股份,0,,0.02 ,22181900,3月28日,0.05 ,0,0,6.22,47.46483625,2027.0097,178468.6268,176583.0386,1885.5882,0.014909279,0.331196949,,黑色金属冶炼和压延加工业,材料Ⅱ,普钢,普钢,主板,上海,上海市,0
600020,中原高速,0,,0.02 ,271600,7/14/28,0.05 ,0,0,3.67,3.305968958,0.8808,699.3167,728.5089,-29.1922,0.000106791,0.031905996,,道路运输业,运输,铁路公路,公路铁路,主板,河南省,郑州市,0
600021,上海电力,0,,0.02 ,474800,7-42,0.06 ,4500,43740,9.75,27.29880725,3181.2661,124242.668,122447.4788,1795.1892,0.124670704,0.362497224,,电力、热力生产和供应业,公用事业Ⅱ,电力,发电及电网,主板,上海,上海市,0
600022,山东钢铁,0,,0.02 ,4443100,7-42,0.05 ,0,0,1.51,15.94094479,808.041,89698.7398,90733.1204,-1034.3806,0.050017199,0.630988041,,黑色金属冶炼和压延加工业,材料Ⅱ,普钢,普钢,主板,山东省,济南市,0
600023,浙能电力,0,,0.02 ,136521000,3-182,0.04 ,78000,365820,4.71,38.05016116,1928.6979,24568.3327,22476.0797,2092.253,0.030539053,0.226587725,,电力、热力生产和供应业,公用事业Ⅱ,电力,发电及电网,主板,浙江省,杭州市,0
600025,华能水电,0,,0.02 ,2086700,7-182,0.05 ,5800,42224,7.25,95.28944751,918.1219,37944.3874,37515.2472,429.1402,0.007035417,0.227739524,,电力、热力生产和供应业,公用事业Ⅱ,电力,发电及电网,主板,云南省,昆明市,0
600026,中远海能,0,,0.02 ,127200,3月28日,0.06 ,2600,35204,14.03,93.63752871,547.8715,160201.3312,164283.3261,-4081.9949,0.011238133,0.499602857,,水上运输业,运输,航运港口,航运港口,主板,上海,上海市,0
600027,华电国际,0,,0.02 ,1682700,7-42,0.06 ,44000,242000,5.58,51.08391422,3394.4423,163126.525,160080.4918,3046.0332,0.071480562,0.640615049,,电力、热力生产和供应业,公用事业Ⅱ,电力,发电及电网,主板,山东省,济南市,0
600028,中国石化,0,,0.02 ,8548300,3-182,0.05 ,0,0,6.07,87.79255044,5508.7356,217373.4926,218627.3332,-1253.8406,0.009541399,0.430348642,,石油和天然气开采业,能源Ⅱ,炼化及贸易,石油化工,主板,北京,北京市,0
600029,南方航空,0,,0.02 ,1598700,7/14/28,0.07 ,800,5208,6.69,14.94845361,3325.5073,433808.3058,434974.7339,-1166.4281,0.039222999,1.807390065,,航空运输业,运输,航空机场,航空机场,主板,广东省,广州市,0
